500 998
1 2 6807
2 3 -8874
3 4 -1055
4 5 4414
5 6 1728
6 7 -2237
7 8 -7507
8 9 7990
9 10 -5012
10 11 7353
11 12 -6736
12 13 -7604
13 14 5273
14 15 9331
15 16 -7753
16 17 -4370
17 18 267
18 19 903
19 20 7674
20 21 5436
21 22 9479
22 23 9432
23 24 4472
24 25 7258
25 26 8709
26 27 4358
27 28 -6775
28 29 68
29 30 -2849
30 31 -9951
31 32 -8643
32 33 -4010
33 34 -4667
34 35 -5829
35 36 -5222
36 37 -7609
37 38 3054
38 39 7935
39 40 173
40 41 9596
41 42 -4557
42 43 -4823
43 44 -6198
44 45 8450
45 46 5533
46 47 -6059
47 48 7411
48 49 9102
49 50 914
50 51 9501
51 52 2704
52 53 -140
53 54 1179
54 55 -1572
55 56 7095
56 57 3613
57 58 5888
58 59 -4184
59 60 1910
60 61 4401
61 62 591
62 63 -9504
63 64 3116
64 65 -6230
65 66 1867
66 67 3816
67 68 2402
68 69 7667
69 70 -3532
70 71 -2985
71 72 -3462
72 73 7737
73 74 8886
74 75 -102
75 76 -3013
76 77 9948
77 78 8032
78 79 -841
79 80 7663
80 81 8974
81 82 5234
82 83 -3366
83 84 3926
84 85 2583
85 86 3295
86 87 -3398
87 88 1058
88 89 2518
89 90 2141
90 91 8894
91 92 7151
92 93 -1766
93 94 -8183
94 95 1773
95 96 -6715
96 97 -9266
97 98 2472
98 99 9986
99 100 -4478
100 101 -1456
101 102 3812
102 103 4658
103 104 3034
104 105 6682
105 106 4633
106 107 7981
107 108 -2976
108 109 8849
109 110 -5089
110 111 -5617
111 112 9034
112 113 -4112
113 114 -9800
114 115 -1462
115 116 -3454
116 117 5890
117 118 -9012
118 119 7557
119 120 1231
120 121 6409
121 122 491
122 123 -5925
123 124 -8728
124 125 -6474
125 126 3510
126 127 -244
127 128 8413
128 129 8772
129 130 1584
130 131 6869
131 132 -7293
132 133 5355
133 134 -4059
134 135 -3303
135 136 -657
136 137 2192
137 138 2039
138 139 -1128
139 140 626
140 141 -887
141 142 -4769
142 143 -7750
143 144 5026
144 145 7151
145 146 -3960
146 147 5902
147 148 -9587
148 149 27
149 150 265
150 151 -5445
151 152 -1850
152 153 2907
153 154 5564
154 155 3872
155 156 -823
156 157 7660
157 158 8685
158 159 -3164
159 160 -7839
160 161 9902
161 162 -487
162 163 8353
163 164 -5987
164 165 4948
165 166 2192
166 167 2283
167 168 428
168 169 2596
169 170 636
170 171 6480
171 172 1141
172 173 -9697
173 174 1467
174 175 -8677
175 176 -9786
176 177 -9636
177 178 -620
178 179 653
179 180 -5463
180 181 6062
181 182 9858
182 183 8655
183 184 -1583
184 185 5507
185 186 -719
186 187 9275
187 188 -9471
188 189 7296
189 190 3768
190 191 -9
191 192 7546
192 193 7645
193 194 1272
194 195 2135
195 196 -9529
196 197 3904
197 198 -6105
198 199 -1925
199 200 -2491
200 201 5606
201 202 -8731
202 203 -8100
203 204 2830
204 205 -2078
205 206 6293
206 207 752
207 208 5289
208 209 -5201
209 210 1564
210 211 4944
211 212 -2368
212 213 6432
213 214 -1421
214 215 -7142
215 216 6331
216 217 3374
217 218 -2164
218 219 7518
219 220 -6876
220 221 8576
221 222 -7797
222 223 -4499
223 224 -1751
224 225 5777
225 226 -3832
226 227 -5058
227 228 8187
228 229 6101
229 230 9131
230 231 7884
231 232 5904
232 233 -5000
233 234 -8309
234 235 -5961
235 236 -4598
236 237 3563
237 238 -1734
238 239 -9874
239 240 6294
240 241 -2489
241 242 -8966
242 243 6243
243 244 -3343
244 245 -9103
245 246 1757
246 247 792
247 248 9403
248 249 -3384
249 250 5555
250 251 6155
251 252 7781
252 253 -2456
253 254 7775
254 255 -8096
255 256 4382
256 257 -1
257 258 1925
